cruise,station,type,time,lon,lat,local_cdi_ID,EDMO_code,bottle_depth,sensor_pressure,sensor_pressure_flag,potential_temperature,potential_temperature_flag,practical_salinity,practical_salinity_flag,sigma_theta,sigma_theta_flag,uncalibrated_CTD_temperature,uncalibrated_CTD_temperature_flag
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,30.5,1,17.975,1,35.59,1,25.730999999999998,1,17.98,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,31.5,1,17.976,1,35.589,1,25.730999999999998,1,17.980999999999998,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,32.5,1,17.985,1,35.59,1,25.729,1,17.99,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,33.5,1,17.916,1,35.591,1,25.747,1,17.921,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,34.5,1,17.889,1,35.582,1,25.747,1,17.895,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,35.5,1,17.807000000000002,1,35.580999999999996,1,25.766,1,17.813,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,36.5,1,17.78,1,35.571,1,25.765,1,17.785999999999998,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,37.5,1,17.695,1,35.569,1,25.784000000000002,1,17.702,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,38.5,1,17.657,1,35.569,1,25.793000000000003,1,17.663,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,39.5,1,17.601,1,35.55,1,25.791999999999998,1,17.608,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,40.5,1,17.485,1,35.537,1,25.811,1,17.491,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,41.5,1,17.433,1,35.538000000000004,1,25.824,1,17.44,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,42.5,1,17.429000000000002,1,35.538000000000004,1,25.825,1,17.436,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,43.5,1,17.375,1,35.551,1,25.848000000000003,1,17.382,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,44.5,1,17.295,1,35.536,1,25.855999999999998,1,17.302,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,45.5,1,17.265,1,35.53,1,25.859,1,17.273,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,46.5,1,17.264,1,35.565,1,25.886,1,17.271,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,47.5,1,17.215999999999998,1,35.583,1,25.910999999999998,1,17.224,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,48.5,1,16.892,1,35.584,1,25.989,1,16.9,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,49.5,1,16.711,1,35.608000000000004,1,26.05,1,16.719,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,50.5,1,16.416,1,35.606,1,26.118000000000002,1,16.425,1
